 time       EAIS       Ross   Amundsen    Weddell  Peninsula
    1    0.01173    0.01550    0.00866    0.01590    0.00838
    2    0.02344    0.03132    0.01656    0.03207    0.01650
    3    0.03480    0.04677    0.02399    0.04822    0.02420
    4    0.04567    0.06208    0.03110    0.06408    0.03157
    5    0.05592    0.07724    0.03814    0.07979    0.03898
    6    0.06578    0.09232    0.04490    0.09511    0.04603
    7    0.07530    0.10714    0.05127    0.10995    0.05268
    8    0.08436    0.12158    0.05726    0.12466    0.05888
    9    0.09321    0.13585    0.06276    0.13903    0.06468
   10    0.10193    0.14981    0.06790    0.15340    0.07029
   11    0.11018    0.16388    0.07300    0.16747    0.07592
   12    0.11809    0.17767    0.07774    0.18129    0.08124
   13    0.12592    0.19151    0.08234    0.19464    0.08630
   14    0.13328    0.20477    0.08652    0.20768    0.09095
   15    0.14028    0.21789    0.09039    0.22065    0.09547
   16    0.14702    0.23094    0.09401    0.23338    0.09984
   17    0.15356    0.24365    0.09744    0.24576    0.10389
   18    0.15975    0.25603    0.10073    0.25785    0.10760
   19    0.16586    0.26827    0.10398    0.26984    0.11115
   20    0.17166    0.28026    0.10704    0.28173    0.11464
   21    0.17743    0.29229    0.11001    0.29354    0.11810
   22    0.18294    0.30419    0.11296    0.30518    0.12144
   23    0.18836    0.31587    0.11572    0.31659    0.12472
   24    0.19337    0.32737    0.11870    0.32783    0.12762
   25    0.19817    0.33849    0.12146    0.33885    0.13024
   26    0.20278    0.34941    0.12418    0.34991    0.13289
   27    0.20725    0.36029    0.12642    0.36071    0.13544
   28    0.21170    0.37088    0.12876    0.37147    0.13795
   29    0.21602    0.38130    0.13109    0.38219    0.14019
   30    0.22020    0.39177    0.13325    0.39266    0.14228
   31    0.22417    0.40184    0.13521    0.40311    0.14417
   32    0.22822    0.41147    0.13715    0.41352    0.14599
   33    0.23204    0.42088    0.13872    0.42401    0.14756
   34    0.23572    0.42992    0.14022    0.43411    0.14904
   35    0.23908    0.43889    0.14169    0.44400    0.15035
   36    0.24237    0.44760    0.14307    0.45405    0.15158
   37    0.24549    0.45585    0.14442    0.46382    0.15258
   38    0.24838    0.46389    0.14564    0.47361    0.15350
   39    0.25162    0.47137    0.14688    0.48342    0.15452
   40    0.25480    0.47834    0.14820    0.49315    0.15546
   41    0.25756    0.48471    0.14919    0.50271    0.15627
   42    0.26036    0.49053    0.15035    0.51227    0.15710
   43    0.26313    0.49623    0.15145    0.52181    0.15797
   44    0.26597    0.50185    0.15247    0.53111    0.15867
   45    0.26856    0.50695    0.15344    0.54029    0.15923
   46    0.27083    0.51164    0.15440    0.54953    0.15964
   47    0.27327    0.51594    0.15517    0.55841    0.16017
   48    0.27553    0.52006    0.15568    0.56704    0.16060
   49    0.27763    0.52396    0.15622    0.57528    0.16096
   50    0.27980    0.52746    0.15684    0.58336    0.16123
   51    0.28195    0.53068    0.15744    0.59156    0.16156
   52    0.28405    0.53387    0.15788    0.59943    0.16182
   53    0.28612    0.53697    0.15827    0.60718    0.16220
   54    0.28797    0.54038    0.15881    0.61481    0.16247
   55    0.29003    0.54355    0.15924    0.62213    0.16258
   56    0.29209    0.54648    0.15961    0.62946    0.16259
   57    0.29397    0.54939    0.16007    0.63644    0.16256
   58    0.29608    0.55227    0.16037    0.64317    0.16255
   59    0.29807    0.55497    0.16074    0.64993    0.16256
   60    0.29977    0.55746    0.16138    0.65660    0.16252
   61    0.30162    0.55981    0.16177    0.66317    0.16241
   62    0.30338    0.56235    0.16219    0.66963    0.16230
   63    0.30515    0.56482    0.16263    0.67618    0.16215
   64    0.30710    0.56724    0.16300    0.68239    0.16204
   65    0.30870    0.56933    0.16334    0.68848    0.16199
   66    0.31037    0.57156    0.16369    0.69422    0.16200
   67    0.31200    0.57380    0.16414    0.70023    0.16203
   68    0.31354    0.57611    0.16446    0.70615    0.16200
   69    0.31501    0.57811    0.16486    0.71203    0.16189
   70    0.31647    0.58020    0.16529    0.71773    0.16179
   71    0.31781    0.58227    0.16563    0.72344    0.16172
   72    0.31932    0.58434    0.16598    0.72911    0.16154
   73    0.32050    0.58618    0.16619    0.73475    0.16122
   74    0.32167    0.58802    0.16633    0.74033    0.16087
   75    0.32305    0.58991    0.16650    0.74570    0.16065
   76    0.32414    0.59160    0.16661    0.75110    0.16043
   77    0.32537    0.59306    0.16642    0.75650    0.16018
   78    0.32633    0.59445    0.16638    0.76149    0.15993
   79    0.32748    0.59602    0.16624    0.76662    0.15955
   80    0.32854    0.59755    0.16604    0.77185    0.15923
   81    0.32951    0.59904    0.16578    0.77696    0.15895
   82    0.33056    0.60036    0.16549    0.78192    0.15851
   83    0.33146    0.60154    0.16521    0.78686    0.15814
   84    0.33246    0.60263    0.16489    0.79165    0.15780
   85    0.33331    0.60383    0.16452    0.79662    0.15728
   86    0.33428    0.60508    0.16412    0.80169    0.15680
   87    0.33513    0.60626    0.16380    0.80667    0.15631
   88    0.33570    0.60726    0.16346    0.81154    0.15583
   89    0.33635    0.60838    0.16316    0.81634    0.15548
   90    0.33709    0.60977    0.16287    0.82117    0.15506
   91    0.33783    0.61117    0.16256    0.82590    0.15464
   92    0.33855    0.61249    0.16225    0.83055    0.15426
   93    0.33918    0.61382    0.16202    0.83517    0.15375
   94    0.34006    0.61506    0.16171    0.83978    0.15321
   95    0.34101    0.61644    0.16120    0.84432    0.15249
   96    0.34183    0.61788    0.16078    0.84893    0.15181
   97    0.34235    0.61940    0.16048    0.85334    0.15124
   98    0.34302    0.62062    0.16010    0.85804    0.15057
   99    0.34366    0.62190    0.15968    0.86265    0.14987
  100    0.34429    0.62310    0.15926    0.86735    0.14922
  101    0.34492    0.62443    0.15879    0.87173    0.14863
  102    0.34557    0.62598    0.15841    0.87601    0.14785
  103    0.34636    0.62759    0.15794    0.88037    0.14706
  104    0.34706    0.62912    0.15758    0.88486    0.14631
  105    0.34761    0.63058    0.15715    0.88918    0.14550
  106    0.34814    0.63210    0.15668    0.89341    0.14490
  107    0.34895    0.63363    0.15613    0.89775    0.14423
  108    0.34937    0.63508    0.15559    0.90218    0.14354
  109    0.34983    0.63659    0.15501    0.90641    0.14268
  110    0.35037    0.63836    0.15427    0.91056    0.14185
  111    0.35073    0.63994    0.15378    0.91452    0.14097
  112    0.35120    0.64159    0.15324    0.91850    0.14009
  113    0.35153    0.64320    0.15268    0.92262    0.13917
  114    0.35203    0.64479    0.15212    0.92648    0.13826
  115    0.35249    0.64612    0.15155    0.93049    0.13735
  116    0.35276    0.64735    0.15105    0.93474    0.13639
  117    0.35311    0.64873    0.15053    0.93906    0.13543
  118    0.35348    0.65025    0.15007    0.94327    0.13436
  119    0.35382    0.65153    0.14946    0.94732    0.13330
  120    0.35407    0.65278    0.14877    0.95115    0.13226
  121    0.35455    0.65404    0.14812    0.95501    0.13115
  122    0.35498    0.65534    0.14755    0.95879    0.12989
  123    0.35548    0.65695    0.14703    0.96242    0.12859
  124    0.35591    0.65844    0.14648    0.96607    0.12749
  125    0.35623    0.66025    0.14596    0.96969    0.12633
  126    0.35655    0.66205    0.14531    0.97339    0.12530
  127    0.35686    0.66379    0.14457    0.97696    0.12423
  128    0.35725    0.66552    0.14379    0.98042    0.12333
  129    0.35751    0.66717    0.14301    0.98374    0.12226
  130    0.35782    0.66886    0.14213    0.98705    0.12129
  131    0.35830    0.67039    0.14134    0.99024    0.12029
  132    0.35858    0.67197    0.14050    0.99312    0.11922
  133    0.35905    0.67363    0.13964    0.99614    0.11815
  134    0.35926    0.67562    0.13880    0.99911    0.11717
  135    0.35960    0.67736    0.13805    1.00235    0.11603
  136    0.35992    0.67904    0.13723    1.00544    0.11487
  137    0.36033    0.68089    0.13630    1.00846    0.11377
  138    0.36059    0.68284    0.13552    1.01156    0.11252
  139    0.36084    0.68475    0.13481    1.01455    0.11136
  140    0.36101    0.68655    0.13407    1.01750    0.11028
  141    0.36115    0.68845    0.13345    1.02059    0.10903
  142    0.36141    0.69051    0.13269    1.02368    0.10787
  143    0.36151    0.69265    0.13207    1.02653    0.10661
